"ISBN","title","author","publisher","category","original-language","country-of-origin","summary-of-content","summary-of-reviews"
"978-0241578678","The Seven Moons of Maali Almeida","Shehan Karunatilaka","Sort of Books","Fantasy/Satire","English","Sri Lanka","Set in 1980s Sri Lanka during the civil war, a dead war photographer is given seven moons to solve his own murder and lead his loved ones to a hidden cache of photos that will shake the nation. (Note: Karunatilaka is Sri Lankan, but this won the Booker Prize).","Winner of the 2022 Booker Prize, it was praised for its audacious humor, its vibrant energy, and its surreal and satirical take on a dark period of Sri Lankan history. It was a formally inventive and wildly imaginative novel."
"978-0241578692","Small Things Like These","Claire Keegan","Faber & Faber","Historical Fiction","English","Ireland","In a small Irish town in 1985, a coal merchant makes a discovery that forces him to confront the silence and complicity of his community regarding the local convent and Magdalene laundry.","Shortlisted for the Booker Prize, it was praised for its quiet power, its exquisite prose, and its profound moral clarity. It is a short but deeply moving and impactful novel."
"978-0241578715","Oh William!","Elizabeth Strout","Viking","Fiction","English","United States","Another book in the 'Lucy Barton' series, it explores Lucy's relationship with her first husband, William, as they take a trip together to investigate a family secret.","Praised for its deep empathy, its subtle psychological insights, and its masterful portrayal of the complexities of long-term relationships. Strout's writing was once again lauded for its precision and its emotional depth."
"978-0241578739","Matrix","Lauren Groff","William Heinemann","Historical Fiction","English","United States","A novel about a 12th-century nun who is cast out of the French court and sent to run a struggling English abbey, which she transforms into a place of female power and creativity.","Praised for its lyrical prose, its fierce and memorable protagonist, and its visionary portrayal of female community. It was a critically acclaimed and immersive work of historical fiction."
"978-0241578753","The Love Songs of W.E.B. Du Bois","Honorée Fanonne Jeffers","4th Estate","Historical Fiction","English","United States","An epic novel that traces the history of an African-American family from the time of slavery to the present day, through the story of a young woman who is trying to understand her family's past.","Praised for its ambitious scope, its lyrical prose, and its powerful exploration of race, family, and American history. It was a major literary achievement and an Oprah's Book Club pick."
"978-0241578777","No One Is Talking About This","Patricia Lockwood","Bloomsbury Circus","Fiction","English","United States","An experimental novel that is divided into two parts. The first is a series of fragmented thoughts and observations from a woman who is famous on social media, and the second is a deeply personal story about a family tragedy.","Shortlisted for the Booker Prize, it was praised for its unique and inventive style, its humor, and its poignant exploration of the internet, grief, and love. It was a formally innovative and emotionally resonant novel."
"978-0241578791","Detransition, Baby","Torrey Peters","Serpent's Tail","Fiction","English","United States","A novel about a trans woman, her detransitioned ex, and his cisgender lover, who are considering raising a baby together.","Praised for its witty and insightful exploration of gender, motherhood, and modern relationships. It was a groundbreaking and critically acclaimed novel that brought a fresh perspective to trans literature."
"978-0241578814","After Sappho","Selby Wynn Schwartz","Galley Beggar Press","Fiction","English","United States","An experimental novel that weaves together the lives of a group of female artists, writers, and performers in the early 20th century who were inspired by the poet Sappho.","Shortlisted for the Booker Prize, it was praised for its lyrical prose, its inventive form, and its celebration of queer female creativity. It is a unique and beautifully written work of fiction."
"9-780241578838","A Passage North","Anuk Arudpragasam","Granta Books","Fiction","English","Sri Lanka","A young Tamil man travels from Colombo to the war-torn north of Sri Lanka to attend the funeral of his grandmother's caretaker, and reflects on his past and his country's history of violence.","Shortlisted for the Booker Prize, it was praised for its meditative and philosophical prose, and its profound exploration of grief, memory, and trauma. It is a slow and contemplative novel."
"978-0241578852","The Fortune Men","Nadifa Mohamed","Viking","Historical Fiction","English","United Kingdom/Somalia","Based on a true story, this novel is about a Somali sailor who is wrongly accused of murder in 1950s Cardiff.","Shortlisted for the Booker Prize, it was praised for its powerful storytelling, its vivid historical detail, and its important subject matter. It is a gripping and timely novel about racial injustice."
"978-0241578876","An Island","Karen Jennings","Holland Park Press","Fiction","English","South Africa","On a remote island, a lighthouse keeper's solitary life is disrupted by the arrival of a refugee who washes up on the shore.","Longlisted for the Booker Prize, it was praised for its spare and powerful prose, its tense atmosphere, and its allegorical exploration of xenophobia and isolation. It is a haunting and thought-provoking novel."
"978-0241578890","Second Place","Rachel Cusk","Faber & Faber","Fiction","English","United Kingdom/Canada","A woman invites a famous artist to stay at her remote coastal home, hoping that he will be inspired by the landscape, but his presence disrupts her life in unexpected ways.","Praised for its cool, intellectual prose, its sharp psychological insights, and its exploration of art, gender, and hospitality. It is a sophisticated and thought-provoking novel."
"978-0241578913","Light Perpetual","Francis Spufford","Faber & Faber","Fiction","English","United Kingdom","A novel that imagines the lives of five children who were killed in a V2 rocket attack in London in 1944, as if they had survived.","Praised for its imaginative premise, its rich historical detail, and its moving and humane portrayal of ordinary lives. It is a life-affirming and beautifully written novel."
"978-0241578937","Leave the World Behind","Rumaan Alam","Bloomsbury Publishing","Thriller","English","United States","A white family's vacation on Long Island is interrupted by the arrival of an older black couple who claim to be the owners of the rental home, and who bring news of a mysterious blackout in the city.","Praised for its tense and suspenseful atmosphere, its sharp social commentary, and its unsettling exploration of race, class, and paranoia in a time of crisis. It was a finalist for the National Book Award."
"978-0241578951","The Lying Life of Adults","Elena Ferrante","Europa Editions","Fiction","Italian","Italy","The story of a teenage girl's coming of age in Naples in the 1990s, as she navigates a difficult family life and discovers the lies and secrets of the adults around her.","Praised for its raw and honest portrayal of adolescence, its complex characters, and its vivid depiction of Naples. It was another powerful and immersive novel from the author of the Neapolitan Novels."
"978-0241578975","The Vanishing Sky","L. Annette Binder","Bloomsbury Publishing","Historical Fiction","English","United States","Set in Germany during the final months of World War II, a mother tries to protect her family as her older son returns from the Eastern Front, a traumatized deserter, and her younger son is a devoted member of the Hitler Youth.","Praised for its powerful and moving portrayal of a family caught in the devastation of war. It is a harrowing and humane work of historical fiction."
"978-0241578999","Redhead by the Side of the Road","Anne Tyler","Chatto & Windus","Fiction","English","United States","A novel about a self-employed tech expert, a man of routines and order, whose carefully constructed life is thrown into disarray by the arrival of his girlfriend's son and a potential break-up.","Praised for its gentle humor, its quirky characters, and its insightful portrayal of ordinary life. It is a warm and charming novel from a beloved author."
"978-0241579019","Jack","Marilynne Robinson","Virago","Fiction","English","United States","The fourth novel in the 'Gilead' series, it tells the story of John Ames 'Jack' Boughton, the prodigal son of a Presbyterian minister, and his interracial romance with a high school teacher in post-World War II St. Louis.","Praised for its beautiful and profound prose, its deep theological and philosophical insights, and its compassionate portrayal of flawed and searching characters. It is a work of great literary and moral weight."
"978-0241579033","Deacon King Kong","James McBride","Riverhead Books","Fiction","English","United States","In 1960s Brooklyn, a cantankerous old church deacon shoots a drug dealer in broad daylight, setting off a chain of events that affects the whole community.","Praised for its vibrant characters, its humor, and its big-hearted portrayal of a Brooklyn neighborhood. It was a critically acclaimed and much-loved novel, and an Oprah's Book Club pick."
"978-0241579057","Homeland Elegies","Ayad Akhtar","Tinder Press","Autofiction","English","United States","A novel that blends fact and fiction to explore the experience of being a Muslim-American in a post-9/11 world, through the story of a playwright and his immigrant father.","Praised for its intelligence, its political insight, and its powerful exploration of identity, belonging, and the American dream. It was a critically acclaimed and important work of autofiction."
"978-0241579071","A Children's Bible","Lydia Millet","W. W. Norton & Company","Fiction","English","United States","A group of children on vacation with their dissolute parents are left to fend for themselves as a climate change-fueled storm descends.","Praised for its sharp satire, its allegorical depth, and its chilling vision of a world in crisis. It was a finalist for the National Book Award and a critically acclaimed novel."
"978-0241579095","The Death of Vivek Oji","Akwaeke Emezi","Faber & Faber","Fiction","English","Nigeria/United States","A novel about a family in Nigeria trying to understand the life and death of their son, Vivek, a gentle and mysterious young man.","Praised for its beautiful prose, its emotional depth, and its powerful exploration of grief, identity, and love. It was a critically acclaimed and moving novel."
"978-0241579118","Interior Chinatown","Charles Yu","Europa Editions","Fiction","English","United States","An experimental novel that takes the form of a screenplay, it follows an Asian-American actor who is perpetually cast in stereotypical roles, and dreams of being 'Kung Fu Guy'.","Winner of the National Book Award, it was praised for its originality, its humor, and its sharp and insightful critique of Hollywood and American racial stereotypes. It is a formally inventive and thought-provoking novel."
"978-0241579132","Memorial","Bryan Washington","Atlantic Books","Fiction","English","United States","A novel about a young gay couple, a Japanese-American chef and an African-American daycare worker, whose relationship is at a crossroads when the chef's mother comes to visit from Japan just as he is about to leave for a trip to see his dying father.","Praised for its fresh and authentic voice, its realistic portrayal of a modern relationship, and its humor and heart. It was a critically acclaimed and popular debut."
"978-0241579156","Leave Society","Tao Lin","Vintage","Autofiction","English","United States","A novel that follows a young writer as he navigates his health problems, his relationships with his parents, and his search for meaning and connection in a hyper-digital world.","Praised for its deadpan humor, its unique prose style, and its honest and unflinching exploration of contemporary alienation. It is a work of autofiction that is both funny and profound."
"978-0241579170","Crying in H Mart","Michelle Zauner","Picador","Non-Fiction/Memoir","English","United States","A memoir by the lead singer of the band Japanese Breakfast, about growing up Korean-American, losing her mother to cancer, and finding connection to her heritage through food.","A bestselling and critically acclaimed memoir, it was praised for its honesty, its emotional power, and its beautiful writing about food, grief, and family. It was a deeply moving and resonant book for many readers."
"978-0241579194","The Anthropocene Reviewed","John Green","Dutton Books","Non-Fiction/Essays","English","United States","A collection of essays in which the author reviews various facets of the human-centered planet on a five-star scale, from Diet Dr Pepper to the QWERTY keyboard.","Praised for its blend of humor, curiosity, and profound insight. The essays were described as witty, moving, and thought-provoking. It was a bestseller and a beloved book for fans of the author."
"978-0241579217","Empire of Pain: The Secret History of the Sackler Dynasty","Patrick Radden Keefe","Doubleday","Non-Fiction/History","English","United States","An epic history of the Sackler family, the dynasty behind Purdue Pharma, the company that developed and aggressively marketed the painkiller OxyContin, a key driver of the opioid crisis.","A critically acclaimed and award-winning work of investigative journalism, it was praised for its meticulous research, its gripping narrative, and its powerful indictment of corporate greed. It is a landmark work of non-fiction."
"978-0241579231","The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race","Walter Isaacson","Simon & Schuster","Non-Fiction/Biography","English","United States","A biography of the Nobel Prize-winning scientist Jennifer Doudna and the story of the development of CRISPR gene-editing technology.","Praised for its clear and accessible explanation of complex science, its compelling narrative, and its exploration of the ethical implications of gene editing. It was a timely and important work of science writing."
"978-0241579255","How the Word Is Passed: A Reckoning with the History of Slavery Across America","Clint Smith","Little, Brown and Company","Non-Fiction/History","English","United States","A book that tours various sites and landmarks in the United States to explore how the legacy of slavery is remembered and taught.","Praised for its powerful and poetic prose, its insightful historical analysis, and its important contribution to the national conversation about race and memory. It was a critically acclaimed and award-winning book."
"978-0241579279","The Dawn of Everything: A New History of Humanity","David Graeber and David Wengrow","Allen Lane","Non-Fiction/History","English","United States/United Kingdom","A book that challenges traditional narratives of human history and social evolution, and argues for a more complex and hopeful understanding of our past.","Praised for its ambitious scope, its groundbreaking ideas, and its potential to reshape our understanding of human history. It is a dense and challenging but ultimately rewarding read."
"978-0241579293","On Juneteenth","Annette Gordon-Reed","Liveright","Non-Fiction/History","English","United States","A collection of essays that weave together the author's personal history as a Black woman from Texas with the broader history of Juneteenth and the legacy of slavery.","Praised for its elegant prose, its insightful historical analysis, and its personal and powerful exploration of American history. It was a critically acclaimed and important book."
"978-0241579314","The Premonition: A Pandemic Story","Michael Lewis","W. W. Norton & Company","Non-Fiction/History","English","United States","A book that tells the story of a group of scientists and doctors who saw the COVID-19 pandemic coming and tried to warn the government.","Praised for its gripping narrative, its fascinating characters, and its sharp critique of the US government's response to the pandemic. It was a timely and important work of investigative journalism."
"978-0241579338","The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War","Malcolm Gladwell","Allen Lane","Non-Fiction/History","English","Canada/United Kingdom","A book that explores the development of precision bombing during World War II and the moral dilemmas it presented.","Praised for Gladwell's trademark engaging storytelling style. The book was noted for its interesting historical subject and its exploration of technology and morality."
"978-0241579352","Taste: My Life Through Food","Stanley Tucci","Fig Tree","Non-Fiction/Memoir","English","United States","A memoir that tells the story of the actor's life through his love of food, from his Italian-American upbringing to his battle with cancer.","Praised for its warmth, its humor, and its delicious descriptions of food. It was a charming and delightful memoir that was a bestseller and a hit with food lovers."
"978-0241579376","Beautiful World, Where Are You","Sally Rooney","Faber & Faber","Fiction","English","Ireland","The story of four young people in Ireland—a novelist, her best friend, and their respective romantic interests—as they navigate love, friendship, and the search for meaning in a complex world.","Praised for its intelligent and insightful exploration of contemporary life, its sharp dialogue, and its complex characters. It was a highly anticipated and critically acclaimed novel from a major literary voice."
"978-0241579390","The Island of Missing Trees","Elif Shafak","Viking","Fiction","English","Turkey/United Kingdom","A novel that tells the story of a Greek Cypriot and a Turkish Cypriot couple who fall in love in 1970s Cyprus, and the fig tree that witnesses their story.","Praised for its beautiful and lyrical prose, its poignant love story, and its magical realist elements. It is a story of love, loss, and the enduring power of nature."
"978-0241579413","The Promise","Damon Galgut","Chatto & Windus","Fiction","English","South Africa","A novel that follows a white South African family over several decades, and the unfulfilled promise made to their black domestic worker. (Note: Galgut is South African, but this won the Booker Prize).","Winner of the 2021 Booker Prize, it was praised for its masterful narrative technique, its sharp and incisive social commentary, and its powerful portrayal of a family and a country in transition."
"978-0241579437","The Magician","Colm Tóibín","Viking","Historical Fiction","English","Ireland","A biographical novel that tells the life story of the German writer Thomas Mann, from his childhood in Lübeck to his exile in America during World War II.","Praised for its meticulous research, its elegant prose, and its insightful portrayal of a complex literary figure. It was a major work of biographical fiction from a celebrated author."
"978-0241579451","A Slow Fire Burning","Paula Hawkins","Doubleday","Thriller","English","United Kingdom","A thriller about the murder of a young man on a London canal boat, and the three women in his life who are all suspects.","Praised for its complex characters and its suspenseful plot. It was another popular and engaging thriller from the author of 'The Girl on the Train'."
"978-0241579475","The Man Who Lived Underground","Richard Wright","Library of America","Fiction","English","United States","A novel, published posthumously in its full form, about a black man who is forced to flee into the sewers of a city after being coerced into a false confession by the police.","Praised as a powerful and prescient work of fiction that explores themes of race, justice, and existential alienation. Its publication was a major literary event."
"978-0241579499","Klara and the Sun (Paperback)","Kazuo Ishiguro","Faber & Faber","Science Fiction","English","United Kingdom","Narrated by Klara, an 'Artificial Friend' with remarkable observational qualities, the novel explores themes of love, humanity, and what it means to be human in a technologically advanced world, as she awaits a customer to choose her.","Praised for its poignant and thought-provoking narrative. Ishiguro's gentle prose and the unique perspective of the AF narrator were highlighted by many critics. Some reviewers found the plot to be slow-paced, but most were deeply moved by the novel's emotional depth and philosophical questions."
"978-0241579514","The Lincoln Highway (Paperback)","Amor Towles","Windmill Books","Historical Fiction","English","United States","In 1950s America, two brothers set out on a road trip from Nebraska to California, but their plans are derailed by two escaped convicts from a juvenile work farm.","Praised for its charming characters, its adventurous spirit, and its nostalgic portrayal of 1950s America. It was a bestseller and a popular and entertaining read."
"978-0241579538","Cloud Cuckoo Land (Paperback)","Anthony Doerr","4th Estate","Historical Fiction","English","United States","An epic novel that interweaves the stories of five characters across different time periods—from ancient Greece to the distant future—who are all connected by a single ancient text.","Praised for its beautiful prose, its imaginative storytelling, and its celebration of the power of books and stories. It is a complex and ambitious novel that has been admired for its scope and its humanity."
"978-0241579552","Harlem Shuffle (Paperback)","Colson Whitehead","Fleet","Crime Fiction","English","United States","A crime novel set in 1960s Harlem, it follows a furniture salesman who leads a double life as a fence for stolen goods.","Praised for its vivid historical detail, its witty dialogue, and its entertaining plot. It was a fun and stylish crime novel from a two-time Pulitzer Prize-winning author."
"978-0241579576","Crossroads (Paperback)","Jonathan Franzen","4th Estate","Fiction","English","United States","The first in a planned trilogy, this novel is a family saga set in 1970s suburban Chicago, following a pastor, his wife, and their four children as they each face a moral crisis.","Praised for its ambitious scope, its complex characters, and its incisive portrayal of family dynamics. It was seen as a return to form for the author of 'The Corrections'."
"978-0241579590","Bewilderment (Paperback)","Richard Powers","William Heinemann","Fiction","English","United States","A novel about an astrobiologist who is raising his neurodivergent son alone, and the experimental neurofeedback treatment he uses to help his son connect with his late mother.","Praised for its intellectual depth, its emotional power, and its profound exploration of fatherhood, grief, and the natural world. It is a thought-provoking and moving novel."
"978-0241579613","The Promise (Paperback)","Damon Galgut","Chatto & Windus","Fiction","English","South Africa","A novel that follows a white South African family over several decades, and the unfulfilled promise made to their black domestic worker.","Winner of the 2021 Booker Prize, it was praised for its masterful narrative technique, its sharp and incisive social commentary, and its powerful portrayal of a family and a country in transition."
"978-0241579637","Great Circle (Paperback)","Maggie Shipstead","Doubleday","Historical Fiction","English","United States","An epic novel about a female aviator who disappears while attempting to circumnavigate the globe in the 1950s, and the actress who is cast to play her in a film a century later.","Praised for its ambitious scope, its meticulous research, and its unforgettable protagonist. It was a critically acclaimed and immersive work of historical fiction."
"978-0241579651","The Passenger (Paperback)","Cormac McCarthy","Picador","Fiction","English","United States","The first of a two-part novel, it follows a salvage diver who is haunted by the legacy of his father, a physicist who worked on the atomic bomb, and his love for his troubled sister.","A long-awaited novel from a literary giant, it was praised for its philosophical depth, its beautiful prose, and its bleak and uncompromising vision. It is a challenging and profound work of fiction."
"978-0241579675","Stella Maris (Paperback)","Cormac McCarthy","Picador","Fiction","English","United States","The companion novel to 'The Passenger', it is told entirely through the transcripts of psychiatric sessions with Alicia Western, a brilliant mathematician and the sister of the protagonist of the first book.","Praised for its intellectual rigor and its intense and focused exploration of grief, madness, and the nature of reality. It is a dense and philosophical novel."
"978-0241579699","Liberation Day (Paperback)","George Saunders","Bloomsbury Publishing","Short Stories","English","United States","A collection of short stories that explore themes of power, consumerism, and the search for meaning in a strange and often absurd world.","Praised for Saunders' trademark blend of humor, pathos, and social satire. The stories were described as inventive, compassionate, and thought-provoking."
"978-0241579712","Trust (Paperback)","Hernan Diaz","Riverhead Books","Fiction","English","United States","A novel that tells the story of a wealthy financier and his wife in 1920s New York, through four different documents that offer conflicting perspectives on their lives.","Praised for its ingenious structure, its elegant prose, and its clever exploration of truth, fiction, and power. It was a critically acclaimed and formally inventive novel."
"978-0241579736","Demon Copperhead (Paperback)","Barbara Kingsolver","Faber & Faber","Fiction","English","United States","A modern retelling of 'David Copperfield', set in the Appalachian mountains of Virginia, it is a coming-of-age story about a boy born to a teenage mother in a community ravaged by the opioid crisis.","Praised for its powerful voice, its epic scope, and its compassionate portrayal of a community in crisis. It was a major critical and commercial success."
"978-0241579750","The Seven Moons of Maali Almeida (Paperback)","Shehan Karunatilaka","Sort of Books","Fantasy/Satire","English","Sri Lanka","Set in 1980s Sri Lanka during the civil war, a dead war photographer is given seven moons to solve his own murder and lead his loved ones to a hidden cache of photos that will shake the nation.","Winner of the 2022 Booker Prize, it was praised for its audacious humor, its vibrant energy, and its surreal and satirical take on a dark period of Sri Lankan history. It was a formally inventive and wildly imaginative novel."
"978-0241579774","Prophet Song (Paperback)","Paul Lynch","Oneworld Publications","Dystopian Fiction","English","Ireland","In a dystopian near-future Ireland that is descending into totalitarianism, a mother of four must protect her family as her husband is taken by the secret police.","Winner of the 2023 Booker Prize, it has been praised for its claustrophobic and intense atmosphere, and its powerful depiction of a society's collapse. Lynch's prose style, with its long, breathless sentences, has been a key point of discussion among critics, who find it both immersive and challenging."
"978-0241579798","The Bee Sting","Paul Murray","Hamish Hamilton","Fiction","English","Ireland","A sprawling novel about a dysfunctional Irish family, the Barneses, whose lives unravel after the 2008 financial crisis.","Shortlisted for the Booker Prize, it was praised for its humor, its intricate plot, and its compassionate portrayal of a family in crisis. It is a big, ambitious, and deeply human novel."
"978-0241579811","Western Lane","Chetna Maroo","Picador","Fiction","English","United Kingdom","A short novel about a young girl who, after her mother's death, immerses herself in the world of squash, and the complex relationships she has with her father and her sisters.","Shortlisted for the Booker Prize, it was praised for its spare and elegant prose, its emotional precision, and its unique and compelling story. It is a quiet but powerful debut."
"978-0241579835","If I Survive You","Jonathan Escoffery","4th Estate","Short Stories/Novel-in-Stories","English","United States","A collection of interconnected stories about a Jamaican family who move to Miami and their struggles with identity, race, and the American dream.","Shortlisted for the Booker Prize, it was praised for its vibrant voice, its humor, and its insightful exploration of the immigrant experience. It is a powerful and formally inventive work of fiction."
"978-0241579859","This Other Eden","Paul Harding","Hutchinson Heinemann","Historical Fiction","English","United States","Based on a true story, this novel is about a small, mixed-race community living on an island off the coast of Maine who are forcibly removed by state authorities in the early 20th century.","Shortlisted for the Booker Prize, it was praised for its beautiful and poetic prose, its powerful story, and its profound exploration of home, community, and racial injustice. It is a heartbreaking and lyrical novel."
"978-0241579873","Study for Obedience","Sarah Bernstein","Granta Books","Fiction","English","Canada/United Kingdom (Scotland)","An unsettling and allegorical novel about a woman who moves to a remote, northern country to be a housekeeper for her brother, and finds herself blamed for a series of strange and unfortunate events that befall the community.","Shortlisted for the Booker Prize, it was praised for its eerie atmosphere, its distinctive narrative voice, and its complex exploration of complicity, power, and blame. It is a strange and thought-provoking novel."
"978-0241579897","Pearl","Siân Hughes","The Indigo Press","Fiction","English","United Kingdom","A novel inspired by the medieval poem of the same name, it follows a young girl whose mother disappears, and her lifelong search for answers.","Praised for its beautiful and poetic prose, its emotional depth, and its lyrical exploration of grief and memory. It is a haunting and unique debut."
"978-0241579910","All the Little Bird-Hearts","Viktoria Lloyd-Barlow","Tinder Press","Fiction","English","United Kingdom","A novel about a woman on the autism spectrum whose carefully controlled life is disrupted by the arrival of a new couple next door.","Praised for its unique and compelling narrative voice, its insightful portrayal of autism, and its suspenseful and unsettling plot. It is a powerful and original debut."
"978-0241579934","In Ascension","Martin MacInnes","Atlantic Books","Science Fiction","English","United Kingdom (Scotland)","A novel about a marine biologist who discovers a deep-sea vent that seems to defy the laws of physics, leading her on a journey to the edge of space and human understanding.","Praised for its intellectual ambition, its beautiful prose, and its profound exploration of science, nature, and the human place in the cosmos. It is a work of mind-bending and visionary science fiction."
"978-0241579958","Old God's Time","Sebastian Barry","Faber & Faber","Fiction","English","Ireland","A retired police officer living a quiet life on the Irish coast is forced to confront his past when two former colleagues arrive with questions about a cold case.","Praised for its beautiful and lyrical prose, its emotional depth, and its powerful exploration of memory, trauma, and love. It is a moving and masterful novel from a celebrated author."
"978-0241579972","The House of Doors","Tan Twan Eng","Canongate Books","Historical Fiction","English","Malaysia","Based on real events, this novel is set in 1920s Penang and follows the writer W. Somerset Maugham as he becomes entangled in the lives of a British couple and a Chinese revolutionary.","Praised for its rich historical detail, its beautiful prose, and its intricate and compelling plot. It is an immersive and atmospheric work of historical fiction."
"978-0241579996","How to Build a Boat","Elaine Feeney","Harvill Secker","Fiction","English","Ireland","A novel about a teenage boy on the autism spectrum who decides to build a boat, and the community of people who come together to help him.","Praised for its warmth, its humor, and its compassionate portrayal of neurodiversity and community. It is a heartwarming and life-affirming novel."
"978-0241580015","My Father's House","Joseph O'Connor","Harvill Secker","Historical Fiction","English","Ireland","Based on a true story, this novel is about an Irish priest in Rome who organized an escape line for Allied soldiers and Jewish refugees during the Nazi occupation.","Praised for its thrilling plot, its vivid historical detail, and its inspiring story of courage and resistance. It is a powerful and suspenseful work of historical fiction."
"978-0241580039","The Queen of Dirt Island","Donal Ryan","Doubleday Ireland","Fiction","English","Ireland","A novel that tells the story of four generations of women in a small Irish town, and the secrets, loves, and losses that bind them together.","Praised for its beautiful and poetic prose, its authentic voice, and its powerful portrayal of family and community. It is a moving and deeply Irish novel."
"978-0241580053","The Colony","Audrey Magee","Faber & Faber","Historical Fiction","English","Ireland","On a remote Irish island in 1979, an English artist and a French linguist arrive to pursue their work, but their presence disrupts the lives of the islanders and brings the violence of the mainland to their shores.","Praised for its stark and beautiful prose, its powerful sense of place, and its intelligent exploration of language, art, and colonialism. It is a challenging and thought-provoking novel."
"978-0241580077","The Romantic","William Boyd","Viking","Historical Fiction","English","United Kingdom","An epic novel that follows the life of a man through the 19th century, from his birth in Ireland to his adventures as a soldier, a writer, a lover, and a spy across Europe.","Praised for its entertaining and adventurous plot, its rich historical detail, and its charming and roguish protagonist. It is a classic historical adventure from a master storyteller."
"978-0241580091","Bournville","Jonathan Coe","Viking","Historical Fiction","English","United Kingdom","A novel that tells the story of a family in the Midlands of England over 75 years, from the end of World War II to the COVID-19 pandemic, with each chapter centered on a major national event.","Praised for its warmth, its humor, and its insightful and nostalgic portrayal of post-war British history. It is a state-of-the-nation novel that is both funny and moving."
"978-0241580114","Act of Oblivion","Robert Harris","Hutchinson Heinemann","Historical Fiction","English","United Kingdom","A historical thriller about the hunt for two of the men who signed the death warrant of King Charles I, who have fled to Puritan New England.","Praised for its gripping plot, its meticulous historical research, and its suspenseful storytelling. It is a classic historical thriller from a master of the genre."
"978-0241580138","The Ink Black Heart","Robert Galbraith","Sphere","Crime Fiction","English","United Kingdom","The sixth book in the Cormoran Strike series, in which the private detectives investigate the murder of the co-creator of a popular YouTube cartoon, and get drawn into the toxic world of online fandom. (Note: Robert Galbraith is a pseudonym for J.K. Rowling).","Praised for its complex and intricate plot, its well-developed characters, and its suspenseful mystery. Fans of the series enjoyed another compelling installment."
"978-0241580152","The Satsuma Complex","Bob Mortimer","Simon & Schuster","Fiction","English","United Kingdom","A humorous and quirky novel about a man who, after witnessing a woman being taken away in an ambulance, becomes obsessed with finding out what happened to her.","Praised for its surreal humor, its charming protagonist, and its heartwarming story. It was a funny and life-affirming read from a beloved comedian."
"978-0241580176","Friends, Lovers, and the Big Terrible Thing","Matthew Perry","Headline","Non-Fiction/Memoir","English","United States/Canada","The memoir of the 'Friends' actor, in which he opens up about his lifelong struggle with addiction. (Note: Perry was American/Canadian, but this was a huge bestseller in Europe).","Praised for its raw honesty and its powerful and unflinching look at addiction. It was a bestselling and impactful memoir."
"978-0241580190","I'm Glad My Mom Died","Jennette McCurdy","Simon & Schuster","Non-Fiction/Memoir","English","United States","The memoir of the former child actress, in which she details her struggles with eating disorders, addiction, and a complicated and abusive relationship with her mother.","Praised for its dark humor, its brutal honesty, and its powerful and moving story of resilience. It was a critically acclaimed and bestselling memoir."
"978-0241580213","Spare","Prince Harry, Duke of Sussex","Bantam","Non-Fiction/Memoir","English","United Kingdom","The memoir of the Duke of Sussex, in which he tells his side of the story about his life in the royal family, his relationship with his brother, and his decision to step back from royal duties.","A massive global bestseller that generated a huge amount of media attention and controversy. It was praised by some for its honesty and its willingness to challenge the royal institution, and criticized by others for its perceived self-pity and its attacks on his family."
"978-0241580237","Madly, Deeply: The Alan Rickman Diaries","Alan Rickman","Canongate Books","Non-Fiction/Diaries","English","United Kingdom","A collection of the diaries of the acclaimed actor, spanning over 25 years of his life and career.","Praised for its wit, its intelligence, and its fascinating behind-the-scenes look at the world of theatre and film. It was a must-read for fans of the actor."
"978-0241580251","A Heart That Works","Rob Delaney","Coronet","Non-Fiction/Memoir","English","United States","A memoir by the comedian and actor about the death of his young son from cancer.","Praised for its raw honesty, its dark humor, and its powerful and moving exploration of grief. It is a heartbreaking but ultimately life-affirming book."
"978-0241580275","Surrender: 40 Songs, One Story","Bono","Hutchinson Heinemann","Non-Fiction/Memoir","English","Ireland","The memoir of the U2 frontman, told through the stories behind 40 of the band's songs.","Praised for its honesty, its eloquence, and its fascinating insights into the life and work of a rock star. It was a critically acclaimed and bestselling memoir."
"978-0241580299","The Story of Art without Men","Katy Hessel","Hutchinson Heinemann","Non-Fiction/Art History","English","United Kingdom","A history of art that focuses on the work of female artists, from the Renaissance to the present day.","Praised for its accessible and engaging style, and for its important work in redressing the gender imbalance in art history. It was a bestseller and a much-needed new perspective on the subject."
"978-0241580312","Super-Infinite: The Transformations of John Donne","Katherine Rundell","Faber & Faber","Non-Fiction/Biography","English","United Kingdom","A biography of the metaphysical poet John Donne, which explores his life, his work, and his complex and contradictory nature.","Winner of the Baillie Gifford Prize for Non-Fiction, it was praised for its passionate and lyrical prose, its insightful analysis, and its ability to bring a historical figure to life. It was a critically acclaimed and celebrated biography."
"978-0241580336","The Escape Artist: The Man Who Broke Out of Auschwitz to Warn the World","Jonathan Freedland","John Murray","Non-Fiction/History","English","United Kingdom","The story of Rudolf Vrba, one of the few people to escape from Auschwitz, and his efforts to warn the world about the Holocaust.","Praised for its powerful and gripping narrative, and for telling an important and often overlooked story of courage and resistance. It was a critically acclaimed and impactful work of history."
